real_values predictions
0.505 0.50079125
0.5025 0.50079125
0.4975 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.495 0.50079125
0.4925 0.50079125
0.4925 0.50079125
0.5125 0.50079125
0.5025 0.50079125
0.4925 0.50079125
0.4825 0.50079125
0.485 0.50079125
0.4875 0.50079125
0.5 0.50079125
0.5025 0.50079125
0.505 0.50079125
0.505 0.50079125
0.5075 0.50079125
0.5075 0.50079125
0.5175 0.50079125
0.505 0.50079125
0.5 0.50079125
0.4975 0.50079125
0.4975 0.50079125
0.475 0.50079125
0.4425 0.50079125
0.3825 0.50079125
0.3075 0.50079125
0.2675 0.50079125
0.235 0.50079125
0.2075 0.50079125
0.195 0.50079125
0.1775 0.50079125
0.17 0.50079125
0.155 0.50079125
0.1625 0.50079125
0.1625 0.50079125
0.1725 0.50079125
0.18 0.50079125
0.2 0.50079125
0.2225 0.50079125
0.25 0.50079125
0.2725 0.50079125
0.2775 0.50079125
0.275 0.50079125
0.27 0.50079125
0.2675 0.50079125
0.2725 0.50079125
0.275 0.50079125
0.285 0.50079125
0.2925 0.50079125
0.3025 0.50079125
0.3175 0.50079125
0.3275 0.50079125
0.35 0.50079125
0.3975 0.50079125
0.4825 0.50079125
0.6275 0.50079125
0.465 0.50079125
0.485 0.50079125
0.5275 0.50079125
0.6025 0.50079125
0.6225 0.50079125
0.6125 0.50079125
0.5625 0.50079125
0.5525 0.50079125
0.5575 0.50079125
0.5625 0.50079125
0.555 0.50079125
0.565 0.50079125
0.565 0.50079125
0.5475 0.50079125
0.5175 0.50079125
0.5025 0.50079125
0.495 0.50079125
0.505 0.50079125
0.5 0.50079125
0.4975 0.50079125
0.4975 0.50079125
0.4925 0.50079125
0.4875 0.50079125
0.485 0.50079125
0.485 0.50079125
0.4875 0.50079125
0.4875 0.50079125
0.4575 0.50079125
0.445 0.50079125
0.4375 0.50079125
0.4325 0.50079125
0.4325 0.50079125
0.4325 0.50079125
0.44 0.50079125
0.48 0.50079125
0.5025 0.50079125
0.505 0.50079125
0.5075 0.50079125
0.515 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5025 0.50079125
0.4975 0.50079125
0.49 0.50079125
0.49 0.50079125
0.495 0.50079125
0.495 0.50079125
0.4975 0.50079125
0.5 0.50079125
0.505 0.50079125
0.505 0.50079125
0.51 0.50079125
0.5075 0.50079125
0.4975 0.50079125
0.5 0.50079125
0.5025 0.50079125
0.5025 0.50079125
0.505 0.50079125
0.505 0.50079125
0.495 0.50079125
0.49 0.50079125
0.495 0.50079125
0.4975 0.50079125
0.5 0.50079125
0.4975 0.50079125
0.4975 0.50079125
0.5125 0.50079125
0.5125 0.50079125
0.51 0.50079125
0.5025 0.50079125
0.4975 0.50079125
0.4975 0.50079125
0.4975 0.50079125
0.4925 0.50079125
0.4975 0.50079125
0.5 0.50079125
0.4975 0.50079125
0.4925 0.50079125
0.4875 0.50079125
0.4825 0.50079125
0.475 0.50079125
0.475 0.50079125
0.485 0.50079125
0.4975 0.50079125
0.49 0.50079125
0.475 0.50079125
0.47 0.50079125
0.465 0.50079125
0.495 0.50079125
0.5575 0.50079125
0.56 0.50079125
0.5575 0.50079125
0.5225 0.50079125
0.5125 0.50079125
0.505 0.50079125
0.535 0.50079125
0.57 0.50079125
0.6075 0.50079125
0.64 0.50079125
0.66 0.50079125
0.6775 0.50079125
0.7075 0.50079125
0.7525 0.50079125
0.775 0.50079125
0.785 0.50079125
0.785 0.50079125
0.7825 0.50079125
0.775 0.50079125
0.765 0.50079125
0.7275 0.50079125
0.7 0.50079125
0.68 0.50079125
0.65 0.50079125
0.635 0.50079125
0.6125 0.50079125
0.6025 0.50079125
0.59 0.50079125
0.5725 0.50079125
0.5625 0.50079125
0.555 0.50079125
0.54 0.50079125
0.5375 0.50079125
0.525 0.50079125
0.52 0.50079125
0.515 0.50079125
0.5175 0.50079125
0.5275 0.50079125
0.5275 0.50079125
0.525 0.50079125
0.5175 0.50079125
0.5175 0.50079125
0.5125 0.50079125
0.51 0.50079125
0.5025 0.50079125
0.495 0.50079125
0.495 0.50079125
0.4925 0.50079125
0.4925 0.50079125
0.4925 0.50079125
0.4925 0.50079125
0.495 0.50079125
0.495 0.50079125
0.4975 0.50079125
0.4975 0.50079125
0.4975 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.5 0.50079125
0.4975 0.50079125
0.4975 0.50079125
0.4975 0.50079125
0.5 0.50079125
0.515 0.50079125
0.51 0.50079125
0.475 0.50079125
0.4725 0.50079125
0.55 0.50079125
0.585 0.50079125
0.48 0.50079125
0.4825 0.50079125
0.495 0.50079125
0.5325 0.50079125
0.5275 0.50079125
0.5275 0.50079125
0.51 0.50079125
0.515 0.50079125
0.55 0.50079125
0.5475 0.50079125
0.585 0.50079125
0.605 0.50079125
0.5875 0.50079125
0.545 0.50079125
0.5175 0.50079125
0.5075 0.50079125
0.5175 0.50079125
0.51 0.50079125
0.5125 0.50079125
0.5125 0.50079125
0.5 0.50079125
0.5 0.50079125
0.4975 0.50079125
0.4975 0.50079125
0.495 0.50079125
0.495 0.50079125
0.495 0.50079125
0.495 0.50079125
0.49 0.50079125
0.49 0.50079125
0.4925 0.50079125
0.4925 0.50079125
0.4925 0.50079125
0.495 0.50079125
